PV;Onderwerp;"Datum PV";"Referentie kabinet";Parlementarier;Omschrijving;"Antwoord tegen";"Antwoord ontvangen";"Te behandelen door";"Doorsturen naar";"Naar Staf tegen";"Herinnering op";"Uitgeschreven op";"Datum Kabinet";Bijlagen
267;"Niet-aangelegd fietspad Generaal Lemanstraat Antwerpen - herbestemming middelen";04-12-2013;;"Vogels Mieke";;17-12-2013;;WA;;;17-12-2013;17-12-2013;17-12-2013;
264;"Overladen vrachtwagens - controles wegeninspectie";03-12-2013;;"Dillen Marijke";;13-12-2013;;PCO;;;13-12-2013;13-12-2013;13-12-2013;
263;"Wegbermen - respecteren minimumbreedte";03-12-2013;;"Lachaert Egbert";;13-12-2013;;PCO;;;13-12-2013;13-12-2013;13-12-2013;
261;"Doortocht kusttram Nieuwpoort-Bad - Verkeersveiligheid";03-12-2013;;"Godderis-T'Jonck Danielle";;13-12-2013;;WWV;;;13-12-2013;13-12-2013;13-12-2013;
259;"Aslastendecreet - Knelpunten voor transportsector";29-11-2013;;"Heeren Veerle";;13-12-2013;;PCO;;;13-12-2013;13-12-2013;13-12-2013;
258;"Ritsen in het verkeer - Sensibilisering";29-11-2013;;"Roegiers Jan";;13-12-2013;;PCO;;;13-12-2013;13-12-2013;13-12-2013;
257;"R4 John F. Kennedylaan Gent - Geluidsschermen";29-11-2013;;"Yuksel Veli";;13-12-2013;;WOV;;;13-12-2013;13-12-2013;13-12-2013;
256;"NMBS-investeringsplan 2013-2025 - Afstemming";29-11-2013;;"Vereeck Lode";;13-12-2013;;WL;;;13-12-2013;13-12-2013;13-12-2013;
255;"Trajectcontrole - Werklast voor parketten - Overleg";29-11-2013;;"Roegiers Jan";;13-12-2013;;EMT;;;13-12-2013;13-12-2013;13-12-2013;
254;"Overladen vrachtwagens - Weigh-In-Motion systeem";29-11-2013;;"Smaers Griet";;13-12-2013;;PCO;;;13-12-2013;13-12-2013;13-12-2013;
251;"Investeringsprogramma wegen - Bundelbestek D411 Gent";28-11-2013;;"Taeldeman Valerie";;13-12-2013;;WOV;;;13-12-2013;13-12-2013;13-12-2013;
250;"Investeringsprogramma wegen - Kruispunt Kasteellaan Gent";28-11-2013;;"Taeldeman Valerie";;13-12-2013;;WOV;;;13-12-2013;13-12-2013;13-12-2013;
249;"Investerignsprogramma wegen - Studie N465a Oosterzele";28-11-2013;;"Taeldeman Valerie";;13-12-2013;;WOV;;;13-12-2013;13-12-2013;13-12-2013;
248;"Investeringsprogramma wegen - N461 Knesselare";28-11-2013;;"Taeldeman Valerie";;13-12-2013;;WOV;;;13-12-2013;13-12-2013;13-12-2013;
247;"Investeringsprogramma wegen - ""The Loop"" Gent";28-11-2013;;"Taeldeman Valerie";;13-12-2013;;WOV;;;13-12-2013;13-12-2013;13-12-2013;
